template_id,segment_id,segment_name,lifecycle_stage,goal,theme,variant,message_title_en,message_title_hi,message_body_en,message_body_hi,cta_text_en,cta_text_hi,tone,hook,feature_reference
TPL_0001,0,High Risk Inactives,churned,re_engagement,loss_avoidance,1,Come Back!,Wapas Aao!,You're missing out on Core Feature benefits! 🚀,Aap Core Feature ke fayde se chuke hain! 🚀,Rejoin,Wapas Aao,encouraging,loss_avoidance,Core Feature
TPL_0002,0,High Risk Inactives,churned,re_engagement,loss_avoidance,2,Don't Lose,Haare Mat,Your progress will expire soon! Check User Dashboard,Aapka progress jald hi expire ho jayega! User Dashboard dekhein,Check,Dekhein,urgent,loss_avoidance,User Dashboard
TPL_0003,0,High Risk Inactives,churned,re_engagement,loss_avoidance,3,Stay Ahead,Aage Rahen,Ai Tutor can help you catch up! 🔍,Ai Tutor aapko catch up karne mein madad kar sakta hai! 🔍,Learn,Seekhein,aspirational,loss_avoidance,Ai Tutor
TPL_0004,0,High Risk Inactives,churned,re_engagement,loss_avoidance,4,Leaderboard Alert,Leaderboard Alert,You're falling behind on the Leaderboard! Climb back up,Aap Leaderboard par peeche ho rahe hain! Wapas aage badhein,Climb,Badhein,friendly,loss_avoidance,Leaderboard
TPL_0005,0,High Risk Inactives,churned,re_engagement,loss_avoidance,5,We Miss You,Hum Aapko Miss Kar Rahe Hain,Notifications are waiting for you! Come back and stay updated,Aapke liye Notifications intezaar kar rahe hain! Wapas aao aur updated rahein,Return,Wapas Aao,celebratory,loss_avoidance,Notifications
TPL_0006,0,High Risk Inactives,churned,re_engagement,scarcity,1,Last Chance,Antima Mauka,"Rejoin now, limited spots left on Leaderboard!","Abhi join karo, Leaderboard par simit jagah bacha hai!",Rejoin,Phir se join karo,urgent,scarcity,Leaderboard
TPL_0007,0,High Risk Inactives,churned,re_engagement,scarcity,2,Don't Miss,Chhode Nahi,"Your Ai Tutor awaits, login now to unlock Core Feature!","Aapka Ai Tutor intezaar kar raha hai, abhi login karo aur Core Feature unlock karo!",Login,Login karo,encouraging,scarcity,"Ai Tutor, Core Feature"
TPL_0008,0,High Risk Inactives,churned,re_engagement,scarcity,3,Time's Running,Samay Beet Raha,Only 24 hours left to access your User Dashboard!,Aapke User Dashboard tak pahunchne ke liye sirf 24 ghante bache hain!,Access,Pahunch,urgent,scarcity,User Dashboard
TPL_0009,0,High Risk Inactives,churned,re_engagement,scarcity,4,Limited Offer,Simite Samay,"Get notified about new features, re-engage now and stay updated!","Naye features ke baare mein jaane, abhi phir se join karo aur update rahein!",Reengage,Phir se join karo,friendly,scarcity,Notifications
TPL_0010,0,High Risk Inactives,churned,re_engagement,scarcity,5,Last Opportunity,Antima Avsar,Rejoin and climb the Leaderboard before it's too late!,Phir se join karo aur Leaderboard par chadne se pehle der na karein!,Climb,Chadho,aspirational,scarcity,Leaderboard
TPL_0011,0,High Risk Inactives,inactive,activation,unpredictability,1,New Challenge,Naya Challenge,Can you beat our Ai Tutor? Try now!,Kya aap Ai Tutor ko hara sakte hain? Abhi try karo!,Play,Khelo,encouraging,unpredictability,Ai Tutor
TPL_0012,0,High Risk Inactives,inactive,activation,unpredictability,2,Surprise Reward,Surprise Inaam,Log in to claim your surprise reward on User Dashboard!,User Dashboard par apna surprise inaam claim karne ke liye login karo!,Login,Login,celebratory,unpredictability,User Dashboard
TPL_0013,0,High Risk Inactives,inactive,activation,unpredictability,3,Leaderboard Alert,Leaderboard Alert,Someone's about to overtake you on the Leaderboard! Play Core Feature now,Koi aapko Leaderboard par pichhe chhodne wala hai! Abhi Core Feature khelo,Play,Khelo,urgent,unpredictability,"Leaderboard, Core Feature"
TPL_0014,0,High Risk Inactives,inactive,activation,unpredictability,4,Mystery Notification,Raaz Notification,We have a secret for you. Check Notifications to reveal,Hamare paas aapke liye ek raaz hai. Notifications mein jaakar pata karo,Check, Dekho,aspirational,unpredictability,Notifications
TPL_0015,0,High Risk Inactives,inactive,activation,unpredictability,5,Hidden Opportunity,Chhupa Hua Mauka,Discover a hidden opportunity to rise on the Leaderboard with Core Feature,Leaderboard par chadhne ka chhupa hua mauka Core Feature ke saath dhoondo,Explore,Dhoondo,friendly,unpredictability,"Leaderboard, Core Feature"
TPL_0016,0,High Risk Inactives,inactive,activation,epic_meaning,1,Rejoin Mission,Mission Mein Wapas Aao,Help others by reactivating your account and sharing knowledge on our User Dashboard,Apne account ko reactivate karke aur User Dashboard par gyan baantkar doosron ki madad karo,Rejoin,Wapas Aao,encouraging,epic_meaning,User Dashboard
TPL_0017,0,High Risk Inactives,inactive,activation,epic_meaning,2,Unlock Progress,Aage Badhne Ka Samay,Complete Core Feature tutorials with Ai Tutor and rise on the Leaderboard,Ai Tutor ke saath Core Feature ki tutorials poora karo aur Leaderboard par aage badho,Start,Shuru Karo,aspirational,epic_meaning,"Core Feature, Ai Tutor, Leaderboard"
TPL_0018,0,High Risk Inactives,inactive,activation,epic_meaning,3,Last Chance,Antim Mauka,Activate now to receive important Notifications and stay updated,Abhi activate karo aur mahatvapurn Notifications prapt karo,Activate,Sakriya Karo,urgent,epic_meaning,Notifications
TPL_0019,0,High Risk Inactives,inactive,activation,epic_meaning,4,Be a Hero,Nayak Bano,Make a difference by using our Core Feature and inspiring others on the Leaderboard,Core Feature ka upyog karke aur Leaderboard par doosron ko prerit karke antar daalo,Join,Judein,epic,epic_meaning,"Core Feature, Leaderboard"
TPL_0020,0,High Risk Inactives,inactive,activation,epic_meaning,5,We Miss You,Aapki Kami Mehsoos Ho Rahi Hai,Return to our community and continue learning with Ai Tutor,Hamari community mein wapas aao aur Ai Tutor ke saath seekhna jari rakho,Return,Wapas Ao,friendly,epic_meaning,Ai Tutor
TPL_0021,0,High Risk Inactives,paid,advocacy,accomplishment,1,Get Back,Wapas Aao,Complete Core Feature to earn badges! 🏆,"Core Feature poora karo, badges jeeto!",Start,Shuru,encouraging,accomplishment,Core Feature
TPL_0022,0,High Risk Inactives,paid,advocacy,accomplishment,2,New Leader,Naya Leader,Climb the Leaderboard with Ai Tutor's help!,Ai Tutor ki madad se Leaderboard par chadho!,Learn,Seekho,aspirational,accomplishment,"Ai Tutor, Leaderboard"
TPL_0023,0,High Risk Inactives,paid,advocacy,accomplishment,3,Dashboard Alert,Dashboard Alert,Check your User Dashboard for new updates!,Naye updates ke liye User Dashboard dekho!,View, Dekho,urgent,accomplishment,User Dashboard
TPL_0024,0,High Risk Inactives,paid,advocacy,accomplishment,4,Achieve More,Aur Achieve Kare,Unlock new levels with Core Feature!,Core Feature ke saath naye levels unlock karo!,Play,Khelo,celebratory,accomplishment,Core Feature
TPL_0025,0,High Risk Inactives,paid,advocacy,accomplishment,5,Stay Ahead,Aage Rahna,Stay on top with Notifications and Ai Tutor!,Notifications aur Ai Tutor ke saath aage raho!,Now,Abhi,friendly,accomplishment,"Notifications, Ai Tutor"
TPL_0026,0,High Risk Inactives,paid,advocacy,ownership,1,Own Your Growth,Apni Growth Ka Malik,Get back on track with Core Feature and Ai Tutor,Core Feature aur Ai Tutor ke saath wapas aa jao,Restart,Phir Se Shuru,encouraging,ownership,"Core Feature, Ai Tutor"
TPL_0027,0,High Risk Inactives,paid,advocacy,ownership,2,Lead The Pack,Sabse Aage,Check your rank on the Leaderboard and climb up,Leaderboard par apni rank dekho aur upar chadho,Climb,Upar Chadh,aspirational,ownership,Leaderboard
TPL_0028,0,High Risk Inactives,paid,advocacy,ownership,3,Your Space,Aapka Dashboard,Customize your User Dashboard for a better experience,User Dashboard ko customize karo aur behtar anubhav pao,Customize,Customize Karo,friendly,ownership,User Dashboard
TPL_0029,0,High Risk Inactives,paid,advocacy,ownership,4,Time's Running Out,Samay Kam Hai,"Don't miss out on Core Feature benefits, use it now","Core Feature ke fayde ko na gawao, abhi use karo",Use Now,Abhi Use Karo,urgent,ownership,Core Feature
TPL_0030,0,High Risk Inactives,paid,advocacy,ownership,5,You're A Star,Aap Ek Star Hain,Celebrate your progress with Notifications and Ai Tutor,Notifications aur Ai Tutor ke saath apni pragati ka jashn manao,Celebrate,Jashn Manao,celebratory,ownership,"Notifications, Ai Tutor"
TPL_0031,0,High Risk Inactives,paid,deepening,accomplishment,1,Unlock Pro,Pro Kholein,Complete Core Feature to earn badges!,"Core Feature poora karein, badges jeetein!",Start,Shuru,encouraging,accomplishment,Core Feature
TPL_0032,0,High Risk Inactives,paid,deepening,accomplishment,2,Climb Leaderboard,Leaderboard Mein Chadiye,Use Ai Tutor to improve your rank!,"Ai Tutor ka upyog karein, apna rank behtar banayein!",Learn,Seekhein,aspirational,accomplishment,"Ai Tutor, Leaderboard"
TPL_0033,0,High Risk Inactives,paid,deepening,accomplishment,3,Dashboard Alert,Dashboard Sahita,Check your progress on User Dashboard!,User Dashboard par apni pragati dekhein!,View, Dekhein,friendly,accomplishment,User Dashboard
TPL_0034,0,High Risk Inactives,paid,deepening,accomplishment,4,Last Chance,Antim Avsar,Complete Core Feature today to stay ahead!,"Aaj Core Feature poora karein, aage rahien!",Now,Abhi,urgent,accomplishment,Core Feature
TPL_0035,0,High Risk Inactives,paid,deepening,accomplishment,5,Achievement Unlocked,Upalabdhi Prapt,"You've completed Core Feature, check Notifications for rewards!","Aapne Core Feature poora kiya, Notifications mein inaam dekhein!",Claim,Prapt Karein,celebratory,accomplishment,"Core Feature, Notifications"
TPL_0036,0,High Risk Inactives,paid,deepening,ownership,1,Unlock Pro,Pro khole,Complete Core Feature to earn badges,"Core Feature poora karein, badge jeetein",Start,Shuru,encouraging,ownership,Core Feature
TPL_0037,0,High Risk Inactives,paid,deepening,ownership,2,Lead Board,Leaderboard,Climb Leaderboard with Ai Tutor help,Ai Tutor ki madad se Leaderboard par chadhe,Try,Karo,aspirational,ownership,"Leaderboard, Ai Tutor"
TPL_0038,0,High Risk Inactives,paid,deepening,ownership,3,Dashboard,Dashboard,Track progress on User Dashboard,User Dashboard par apni tarakki dekhein,View, Dekho,friendly,ownership,User Dashboard
TPL_0039,0,High Risk Inactives,paid,deepening,ownership,4,Last Chance,Antima mauka,Use Core Feature before it expires,Samay se pehle Core Feature ka upyog karein,Now,Abhi,urgent,ownership,Core Feature
